Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2007/2008;67;Portello;354;292;49;13
2007/2008;68;Pagano;597;565;27;5
2007/2008;69;Sarpi;658;539;113;6
2007/2008;70;Ghisolfa;15;14;1;
2007/2008;71;Villapizzone - Cagnola - Boldinasco;1066;773;277;16
2007/2008;72;Maggiore - Musocco - Certosa;134;109;20;5
2007/2008;73;Cascina Merlata;;;;
2007/2008;74;Roserio;;;;
2007/2008;75;Stephenson;;;;
2007/2008;76;Quarto Oggiaro - Vialba - Musocco;689;519;162;8
2007/2008;77;Bovisa;469;322;142;5
2007/2008;78;Farini;;;;
2007/2008;79;Dergano;368;247;118;3
2007/2008;80;Affori;492;347;128;17
2007/2008;81;Bovisasca;206;150;51;5
2007/2008;82;Comasina;259;190;57;12
2007/2008;83;Bruzzano;254;208;37;9
2007/2008;84;Parco Nord;26;22;;4
2007/2008;85;Parco delle Abbazie;;;;
2007/2008;86;Parco dei Navigli;;;;
2007/2008;87;Assiano;;;;
2007/2008;88;Parco Bosco in citta';;;;
2008/2009;1;Duomo;422;359;47;16
2008/2009;2;Brera;696;615;62;19
2008/2009;3;Giardini P.ta Venezia;155;145;9;1
2008/2009;4;Guastalla;464;421;27;16
2008/2009;5;Porta Vigentina - Porta Lodovica;583;548;35;
2008/2009;6;Porta Ticinese - Conca del Naviglio;750;651;89;10
2008/2009;7;Magenta - S.Vittore;789;730;49;10
2008/2009;8;Parco Sempione;;;;
2008/2009;9;Porta Garibaldi - Porta Nuova;76;72;4;
2008/2009;10;Stazione Centrale - Ponte Seveso;236;216;20;
2008/2009;11;Isola;411;368;39;4
2008/2009;12;Maciachini - Maggiolina;797;685;105;7
2008/2009;13;Greco - Segnano;245;188;55;2
2008/2009;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1113;974;126;13
2008/2009;15;Bicocca;;;;
2008/2009;16;Gorla - Precotto;808;637;160;11
2008/2009;17;Adriano;285;227;57;1
2008/2009;18;Cimiano - Rottole - Q.re Feltre;679;465;121;93
2008/2009;19;Padova - Turro - Crescenzago;531;386;123;22
2008/2009;20;Loreto - Casoretto - NoLo;766;507;240;19
2008/2009;21;Buenos Aires - Porta Venezia - Porta Monforte;1535;1329;175;31
2008/2009;22;Citta' studi;770;676;82;12
2008/2009;23;Lambrate - Ortica;416;334;56;26
2008/2009;24;Parco Forlanini - Cavriano;;;;
2008/2009;25;Corsica;571;471;74;26
2008/2009;26;XXII Marzo;780;703;73;4
2008/2009;27;Pta Romana;122;118;4;
2008/2009;28;Umbria - Molise - Calvairate;337;278;54;5
2008/2009;29;Ortomercato;166;72;91;3
2008/2009;30;Taliedo - Morsenchio - Q.re Forlanini;374;310;60;4
2008/2009;31;Monlue' - Ponte Lambro;95;65;27;3
2008/2009;32;Triulzo Superiore;;;;
2008/2009;33;Rogoredo - Santa Giulia;195;157;37;1
2008/2009;34;Chiaravalle;26;25;1;
2008/2009;35;Lodi - Corvetto;1176;922;241;13
2008/2009;36;Scalo Romana;;;;
2008/2009;37;Morivione;105;76;28;1
2008/2009;38;Vigentino - Q.re Fatima;426;371;47;8
2008/2009;39;Quintosole;;;;
2008/2009;40;Ronchetto delle Rane;;;;
2008/2009;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;342;276;63;3
2008/2009;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;677;535;130;12
2008/2009;43;Tibaldi;197;190;1;6
2008/2009;44;Porta Ticinese - Conchetta;293;249;38;6
2008/2009;45;Moncucco - San Cristoforo;348;272;66;10
2008/2009;46;Barona;248;204;36;8
2008/2009;47;Cantalupa;;;;
2008/2009;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;339;286;50;3
2008/2009;49;Giambellino;275;197;69;9
2008/2009;50;Porta Genova;500;454;43;3
2008/2009;51;Porta Magenta;375;343;27;5
2008/2009;52;Bande Nere;1370;1183;175;12
2008/2009;53;Lorenteggio;585;467;113;5
2008/2009;54;Muggiano;26;24;2;
2008/2009;55;Baggio - Q.re degli Olmi - Q.re Valsesia;704;605;96;3
2008/2009;56;Forze Armate;671;557;107;7
2008/2009;57;San Siro;166;86;79;1
2008/2009;58;De Angeli - Monte Rosa;405;371;23;11
2008/2009;59;Tre Torri;;;;
2008/2009;60;Stadio - Ippodromi;863;562;276;25
2008/2009;61;Quarto Cagnino;235;204;30;1
2008/2009;62;Quinto Romano;100;84;16;
2008/2009;63;Figino;53;35;11;7
2008/2009;64;Trenno;134;128;2;4
2008/2009;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;642;602;37;3
2008/2009;66;QT 8;231;212;18;1
2008/2009;67;Portello;356;297;51;8
2008/2009;68;Pagano;617;583;32;2
2008/2009;69;Sarpi;588;494;91;3
2008/2009;70;Ghisolfa;14;14;;
2008/2009;71;Villapizzone - Cagnola - Boldinasco;966;750;208;8
2008/2009;72;Maggiore - Musocco - Certosa;202;132;67;3
2008/2009;73;Cascina Merlata;;;;
2008/2009;74;Roserio;;;;
2008/2009;75;Stephenson;;;;
2008/2009;76;Quarto Oggiaro - Vialba - Musocco;687;514;164;9
2008/2009;77;Bovisa;448;313;127;8
2008/2009;78;Farini;;;;
2008/2009;79;Dergano;361;232;122;7
2008/2009;80;Affori;465;335;122;8
2008/2009;81;Bovisasca;212;159;52;1
2008/2009;82;Comasina;257;202;51;4
2008/2009;83;Bruzzano;280;221;53;6
2008/2009;84;Parco Nord;17;14;;3
2008/2009;85;Parco delle Abbazie;;;;
2008/2009;86;Parco dei Navigli;;;;
2008/2009;87;Assiano;;;;
2008/2009;88;Parco Bosco in citta';;;;
2009/2010;1;Duomo;426;403;22;1
2009/2010;2;Brera;665;606;59;
2009/2010;3;Giardini P.ta Venezia;152;149;3;
2009/2010;4;Guastalla;459;443;16;
2009/2010;5;Porta Vigentina - Porta Lodovica;596;585;11;
2009/2010;6;Porta Ticinese - Conca del Naviglio;711;696;15;
2009/2010;7;Magenta - S.Vittore;785;764;21;
2009/2010;8;Parco Sempione;;;;
2009/2010;9;Porta Garibaldi - Porta Nuova;80;76;4;
2009/2010;10;Stazione Centrale - Ponte Seveso;245;237;8;
2009/2010;11;Isola;447;436;11;
2009/2010;12;Maciachini - Maggiolina;800;780;17;3
2009/2010;13;Greco - Segnano;241;231;10;
2009/2010;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1118;1094;23;1
2009/2010;15;Bicocca;;;;
2009/2010;16;Gorla - Precotto;865;835;28;2
2009/2010;17;Adriano;294;286;7;1
2009/2010;18;Cimiano - Rottole - Q.re Feltre;646;583;52;11
2009/2010;19;Padova - Turro - Crescenzago;550;530;20;
2009/2010;20;Loreto - Casoretto - NoLo;841;798;42;1
2009/2010;21;Buenos Aires - Porta Venezia - Porta Monforte;1491;1442;44;5
2009/2010;22;Citta' studi;791;771;19;1
2009/2010;23;Lambrate - Ortica;433;416;17;
2009/2010;24;Parco Forlanini - Cavriano;;;;
2009/2010;25;Corsica;551;533;17;1
2009/2010;26;XXII Marzo;775;757;14;4
2009/2010;27;Pta Romana;123;122;;1
2009/2010;28;Umbria - Molise - Calvairate;343;333;9;1
2009/2010;29;Ortomercato;177;170;7;
2009/2010;30;Taliedo - Morsenchio - Q.re Forlanini;416;411;5;
2009/2010;31;Monlue' - Ponte Lambro;104;101;3;
2009/2010;32;Triulzo Superiore;;;;
2009/2010;33;Rogoredo - Santa Giulia;175;172;2;1
2009/2010;34;Chiaravalle;27;27;;
2009/2010;35;Lodi - Corvetto;1232;1189;43;
2009/2010;36;Scalo Romana;;;;
2009/2010;37;Morivione;103;102;1;
2009/2010;38;Vigentino - Q.re Fatima;428;411;15;2
2009/2010;39;Quintosole;;;;
2009/2010;40;Ronchetto delle Rane;;;;
2009/2010;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;338;329;7;2
2009/2010;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;723;698;25;
2009/2010;43;Tibaldi;204;201;3;
2009/2010;44;Porta Ticinese - Conchetta;307;286;10;11
2009/2010;45;Moncucco - San Cristoforo;383;371;11;1
2009/2010;46;Barona;246;234;11;1
2009/2010;47;Cantalupa;;;;
2009/2010;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;313;305;8;
2009/2010;49;Giambellino;282;271;11;
2009/2010;50;Porta Genova;499;491;7;1
2009/2010;51;Porta Magenta;394;379;14;1
2009/2010;52;Bande Nere;1407;1348;54;5
2009/2010;53;Lorenteggio;593;576;17;
2009/2010;54;Muggiano;25;24;1;
2009/2010;55;Baggio - Q.re degli Olmi - Q.re Valsesia;696;681;15;
2009/2010;56;Forze Armate;657;636;18;3
2009/2010;57;San Siro;176;161;15;
