id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;fine_lavor;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
781;"361";VIA UMBERTO VISCONTI DI MODRONE;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"2020";"99";9.20057096117753;45.4663369373729;"(45.4663369373729, 9.200570961177533)"
782;"351";VIA SAN DAMIANO;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"2020";"57";9.20019685164773;45.4677114496793;"(45.46771144967934, 9.200196851647732)"
783;"1108";VIA MELCHIORRE GIOIA;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"1999";"125";9.20657766797954;45.4941171457148;"(45.49411714571476, 9.206577667979541)"
784;"1088";VIALE ENRICO FERMI;;verde;promiscuo pedoni;parco o area verde;bidirezionale;non regolamentato;"2005";"61";9.17876194238679;45.5140742918564;"(45.51407429185641, 9.17876194238679)"
785;"4095";VIA EMILIO FAA' DI BRUNO;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"2008";"91";9.22237284435416;45.4518755960879;"(45.45187559608786, 9.222372844354162)"
786;"1414";VIA TOFANE;;urbana;promiscuo veicoli;carreggiata;bidirezionale;FACILITAZIONE - divieto di transito ecc. bici;"2004";"62";9.21703077348032;45.500536645013;"(45.50053664501301, 9.217030773480316)"
787;"1414";VIA TOFANE;;urbana;promiscuo veicoli;carreggiata;bidirezionale;FACILITAZIONE - divieto di transito ecc. bici;"2004";"157";9.21764544278829;45.501713532686;"(45.501713532686, 9.217645442788285)"
788;"2106";BASTIONI DI PORTA VENEZIA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"2011";"6";9.20419208281951;45.4746836692828;"(45.47468366928277, 9.204192082819514)"
789;"2106";BASTIONI DI PORTA VENEZIA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"2011";"7";9.20439589741616;45.4745841671978;"(45.47458416719782, 9.204395897416159)"
790;"1010";CORSO GIUSEPPE GARIBALDI;;ciclabile;ciclabile segnaletica;carreggiata;bidirezionale;non regolamentato;"2000";"7";9.18357657054098;45.4734093361883;"(45.47340933618834, 9.183576570540978)"
