id_area;municipio;area;località;obj_id;codice;descrizione_codice;data_ini;area_mq;perim_m;LONG_X_4326;LAT_Y_4326;Location
4_208;4;208;via Caviglia;166300;S327554;Area fruizione cani;2019/10/15;221.657261739294;75.0458205370831;9.2300648;45.4421525044;"(45.4421525044, 9.2300648)"
4_208;4;208;via Caviglia;166299;S327554;Area fruizione cani;2019/10/15;432.455444040087;117.101986519565;9.2299087853;45.4425286705;"(45.4425286705, 9.2299087853)"
4_165;4;165;parco Formentano;116820;S327554;Area fruizione cani;2013/12/24;799.009558896909;151.549692735228;9.2149335604;45.4614695448;"(45.4614695448, 9.2149335604)"
4_165;4;165;parco Formentano;100272;S327554;Area fruizione cani;2011/12/05;3639.12943551637;302.918083047995;9.214861035;45.4608065407;"(45.4608065407, 9.214861035)"
4_165;4;165;parco Formentano;100273;S327554;Area fruizione cani;2011/12/05;6460.92089616188;429.611097028214;9.2166722114;45.4598849178;"(45.4598849178, 9.2166722114)"
4_165;4;165;parco Formentano;25435;S327554;Area fruizione cani;2003/09/05;2417.46150000338;214.222921740144;9.2167887122;45.4591238767;"(45.4591238767, 9.2167887122)"
4_305;4;305;via Vittorini Elio;119232;S327554;Area fruizione cani;2013/12/17;495.182705771407;105.551920236681;9.263645738;45.4448597115;"(45.4448597115, 9.263645738)"
4_040;4;040;vie Dalmazia - Toscolano;47473;S327554;Area fruizione cani;2009/07/01;387.05921603235;112.054758151169;9.2420227018;45.4581127713;"(45.4581127713, 9.2420227018)"
4_266;4;266;giardino Oreste Del Buono;47814;S327554;Area fruizione cani;2007/11/01;487.866658823936;115.765884832702;9.2242780561;45.4637999686;"(45.4637999686, 9.2242780561)"
4_324;4;324;parco Forlanini;132006;S327554;Area fruizione cani;2016/10/28;3061.83667608965;380.553217397079;9.2474865785;45.4686137288;"(45.4686137288, 9.2474865785)"
4_179;4;179;piazzale Libia;123902;S327554;Area fruizione cani;2008/01/01;1764.02124770052;166.813871809889;9.2099104802;45.4549901281;"(45.4549901281, 9.2099104802)"
4_065;4;065;vie Salomone - Quintiliano;139721;S327554;Area fruizione cani;2018/09/12;1773.50810464757;244.41419585437;9.2476259828;45.4477765003;"(45.4477765003, 9.2476259828)"
4_065;4;065;vie Salomone - Quintiliano;116779;S327554;Area fruizione cani;2013/12/08;736.080492994229;108.765234741461;9.2533301736;45.4484294924;"(45.4484294924, 9.2533301736)"
4_213;4;213;via Sulmona;170889;S327554;Area fruizione cani;2021/11/23;918.826988295135;172.161850936299;9.2293108763;45.4443760905;"(45.4443760905, 9.2293108763)"
