Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2008/2009;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;463;374;88;1
2008/2009;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;590;456;120;14
2008/2009;43;Tibaldi;145;145;;
2008/2009;44;Porta Ticinese - Conchetta;;;;
2008/2009;45;Moncucco - San Cristoforo;145;97;35;13
2008/2009;46;Barona;295;243;50;2
2008/2009;47;Cantalupa;;;;
2008/2009;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;458;369;86;3
2008/2009;49;Giambellino;490;449;38;3
2008/2009;50;Porta Genova;;;;
2008/2009;51;Porta Magenta;1153;1038;114;1
2008/2009;52;Bande Nere;1830;1536;288;6
2008/2009;53;Lorenteggio;553;446;83;24
2008/2009;54;Muggiano;;;;
2008/2009;55;Baggio - Q.re degli Olmi - Q.re Valsesia;571;465;103;3
2008/2009;56;Forze Armate;425;342;80;3
2008/2009;57;San Siro;187;151;34;2
2008/2009;58;De Angeli - Monte Rosa;796;622;171;3
2008/2009;59;Tre Torri;;;;
2008/2009;60;Stadio - Ippodromi;494;324;166;4
2008/2009;61;Quarto Cagnino;265;219;46;
2008/2009;62;Quinto Romano;;;;
2008/2009;63;Figino;46;42;2;2
2008/2009;64;Trenno;;;;
2008/2009;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;860;774;84;2
2008/2009;66;QT 8;159;143;16;
2008/2009;67;Portello;;;;
2008/2009;68;Pagano;917;874;41;2
2008/2009;69;Sarpi;618;487;130;1
2008/2009;70;Ghisolfa;;;;
2008/2009;71;Villapizzone - Cagnola - Boldinasco;751;435;311;5
2008/2009;72;Maggiore - Musocco - Certosa;202;150;51;1
2008/2009;73;Cascina Merlata;;;;
2008/2009;74;Roserio;;;;
2008/2009;75;Stephenson;;;;
2008/2009;76;Quarto Oggiaro - Vialba - Musocco;691;506;183;2
2008/2009;77;Bovisa;127;123;4;
2008/2009;78;Farini;;;;
2008/2009;79;Dergano;849;562;283;4
2008/2009;80;Affori;577;411;166;
2008/2009;81;Bovisasca;104;82;20;2
2008/2009;82;Comasina;283;212;70;1
2008/2009;83;Bruzzano;255;195;60;
2008/2009;84;Parco Nord;;;;
2008/2009;85;Parco delle Abbazie;;;;
2008/2009;86;Parco dei Navigli;;;;
2008/2009;87;Assiano;;;;
2008/2009;88;Parco Bosco in citta';;;;
2009/2010;1;Duomo;596;525;70;1
2009/2010;2;Brera;744;642;101;1
2009/2010;3;Giardini P.ta Venezia;;;;
2009/2010;4;Guastalla;1857;1740;117;
2009/2010;5;Porta Vigentina - Porta Lodovica;499;445;54;
2009/2010;6;Porta Ticinese - Conca del Naviglio;443;379;64;
2009/2010;7;Magenta - S.Vittore;880;809;71;
2009/2010;8;Parco Sempione;;;;
2009/2010;9;Porta Garibaldi - Porta Nuova;;;;
2009/2010;10;Stazione Centrale - Ponte Seveso;732;683;49;
2009/2010;11;Isola;338;306;32;
2009/2010;12;Maciachini - Maggiolina;657;568;87;2
2009/2010;13;Greco - Segnano;544;430;114;
2009/2010;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;673;607;66;
2009/2010;15;Bicocca;;;;
2009/2010;16;Gorla - Precotto;609;472;137;
2009/2010;17;Adriano;;;;
2009/2010;18;Cimiano - Rottole - Q.re Feltre;863;669;192;2
2009/2010;19;Padova - Turro - Crescenzago;421;346;75;
2009/2010;20;Loreto - Casoretto - NoLo;1356;1069;283;4
2009/2010;21;Buenos Aires - Porta Venezia - Porta Monforte;1501;1363;137;1
2009/2010;22;Citta' studi;679;613;66;
2009/2010;23;Lambrate - Ortica;390;337;53;
2009/2010;24;Parco Forlanini - Cavriano;;;;
