Quotazioni Immobiliari : Valori di Mercato - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;5;Negozi;OTTIMO; ;1450;1700;L;6,8;8,4;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;6;Uffici;NORMALE;P;1150;1400;L;4,4;5,3;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;6;Uffici;OTTIMO; ;1450;1700;L;5,4;6,5;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;8;Capannoni industriali;NORMALE;P;550;700;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;10;Laboratori;NORMALE;P;550;700;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;R;R1;LC00002932;20;Abitazioni civili;NORMALE;P;1150;1650;L;4,4;6,4;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;R;R1;LC00002932;21;Abitazioni di tipo economico;NORMALE;P;900;1050;L;3,2;4,2;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;R;R1;LC00002932;13;Box;NORMALE;P;1050;1350;L;4,6;6;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;R;R1;LC00002932;1;Ville e Villini;NORMALE;P;1200;1750;L;4,5;6,7;L;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;B2;LC00002533;20;Abitazioni civili;NORMALE;P;950;1300;L;3,5;4,7;L;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;B2;LC00002533;21;Abitazioni di tipo economico;NORMALE;P;830;940;L;2,7;3,4;L;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;B2;LC00002533;13;Box;NORMALE;P;940;1150;L;4,2;5,2;L;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;B2;LC00002533;1;Ville e Villini;NORMALE;P;1050;1400;L;4,2;6;L;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;B2;LC00002533;9;Magazzini;NORMALE;P;440;570;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;B2;LC00002533;5;Negozi;NORMALE;P;1150;1350;L;5,8;7,2;L;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;B2;LC00002533;5;Negozi;OTTIMO; ;1400;1600;L;7,3;8,6;L;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;B2;LC00002533;6;Uffici;NORMALE;P;1000;1300;L;3,6;5,1;L;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;B2;LC00002533;8;Capannoni industriali;NORMALE;P;530;680;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097002;C4AE; ;A112;AIRUNO;B;B2;LC00002533;10;Laboratori;NORMALE;P;530;680;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;B;B2;LC00002534;20;Abitazioni civili;NORMALE;P;950;1250;L;3,6;5,1;L;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;B;B2;LC00002534;21;Abitazioni di tipo economico;NORMALE;P;740;940;L;2,7;3,6;L;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;B;B2;LC00002534;13;Box;NORMALE;P;700;1000;L;2,8;3,9;L;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;B;B2;LC00002534;1;Ville e Villini;NORMALE;P;980;1350;L;3,7;5,2;L;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;B;B2;LC00002534;9;Magazzini;NORMALE;P;370;490;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;B;B2;LC00002534;5;Negozi;NORMALE;P;950;1350;L;4,6;6,7;L;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;B;B2;LC00002534;6;Uffici;NORMALE;P;950;1250;L;3,6;4,8;L;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;B;B2;LC00002534;8;Capannoni industriali;NORMALE;P;470;680;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097003;C4AP; ;A301;ANNONE DI BRIANZA;B;B2;LC00002534;10;Laboratori;NORMALE;P;470;680;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;B;B2;LC00002535;20;Abitazioni civili;NORMALE;P;1150;1600;L;4,8;7,2;L;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;B;B2;LC00002535;21;Abitazioni di tipo economico;NORMALE;P;900;1150;L;3,8;4,8;L;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;B;B2;LC00002535;13;Box;NORMALE;P;1000;1300;L;4,4;5,4;L;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;B;B2;LC00002535;1;Ville e Villini;NORMALE;P;1300;1900;L;5,2;7,6;L;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;B;B2;LC00002535;9;Magazzini;NORMALE;P;520;720;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097004;C4AZ; ;A594;BALLABIO;B;B2;LC00002535;5;Negozi;NORMALE;P;1150;1600;L;5,8;7,8;L;
